ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,5244,12137,17381
subat,3522,9446,12968
mart,9306,16181,25487
nisan,7003,15557,22560
mayis,5184,94278,99462
haziran,1736,4885,6621
temmuz,25,7617,7642
agustos,3548,95930,99478
eylul,1097,4314,5411
ekim,5711,7677,13388
kasim,5075,12221,17296
aralik,6415,4896,11311
