ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,1562,5019,6581
subat,4495,6372,10867
mart,11942,6439,18381
nisan,1126,11693,12819
mayis,8902,14732,23634
haziran,6450,3783,10233
temmuz,2674,11769,14443
agustos,2812,12002,14814
eylul,2257,404,2661
ekim,5503,130029,135532
kasim,9548,4889,14437
aralik,12003,2063,14066
