ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,5731,7164,12895
subat,7507,4755,12262
mart,1084,7948,9032
nisan,919,14784,15703
mayis,8349,6692,15041
haziran,4163,11887,16050
temmuz,3525,12738,16263
agustos,3361,14618,17979
eylul,2167,7166,9333
ekim,10447,162682,173129
kasim,8269,11025,19294
aralik,8623,9928,18551
