ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,7384,1525,8909
subat,9942,5221,15163
mart,6199,241,6440
nisan,0,0,0
mayis,0,0,0
haziran,0,6560,6560
temmuz,1620,3044,4664
agustos,1352,3277,4629
eylul,220,1952,2172
ekim,1540,304,1844
kasim,600,2274,2874
aralik,0,5820,5820
